Premier tirage	
Hauteur (mm)	Aire (mm²)
0.898875	589.511952662722
0.903875	589.193846153846
0.908875	590.295857988166
0.913875	589.652071005917
0.918875	589.705088757396
0.924	588.871952662722
0.928875	589.424852071006
0.934	589.44
0.938875	590.151952662722
0.944	591.064615384615
0.948875	591.163076923077
0.954	591.375147928994
0.958875	590.117869822485
0.964	590.818461538462
0.969	591.208520710059
0.974	590.697278106509
0.979	592.106035502959
0.984	592.041656804734
0.989	590.84875739645
0.994	591.859881656805
0.999	590.727573964497
1.004	590.988875739645
1.009	591.325917159763
1.014	591.314556213018
1.019	591.049467455621
1.024	590.54201183432
1.029	591.007810650888
1.034	590.568520710059
1.039	590.916923076923
1.044	591.48875739645
1.049	591.617514792899
1.054	590.174674556213
1.059	590.64426035503
1.064	590.95100591716
1.069	590.632899408284
1.074	590.723786982248
1.079	590.882840236686
1.084	589.754319526627
1.089	590.791952662722
1.094	589.799763313609
1.099	588.652307692308
1.104125	589.379408284024
1.109	589.053727810651
1.114125	589.288520710059
1.119	589.780828402367
1.124125	589.23550295858
1.129125	589.061301775148
1.134125	588.550059171598
1.139125	588.709112426036
1.144125	588.898461538462
1.149125	588.841656804734
1.154125	589.250650887574
1.159125	588.417514792899
1.164125	589.10674556213
1.169125	588.16
1.174125	588.292544378698
1.179	588.137278106509
1.184125	588.656094674556
1.189	588.091834319527
1.194125	588.69775147929
1.199	589.527100591716
1.204	588.860591715976
1.209	587.985798816568
1.214	589.159763313609
1.219	587.944142011834
1.224	588.088047337278
1.229	586.773964497041
1.234	588.18650887574
1.239	587.31550295858
1.244	586.656568047337
1.249	586.633846153846
1.254	586.043076923077
1.259	585.732544378698
1.264	585.39550295858
1.269	585.168284023669
1.274	585.929467455621
1.279	585.653017751479
1.284	586.149112426035
1.289	585.736331360947
1.294	585.372781065089
1.298875	585.660591715976
1.304	585.694674556213
1.308875	585.516686390533
1.313875	585.29325443787
1.318875	585.194792899408
1.324	584.971360946746
1.328875	585.126627218935
1.333875	583.903431952663
1.338875	585.539408284024
1.343875	585.084970414201
1.348875	584.361656804734
1.353875	584.808520710059
1.358875	584.384378698225
1.363875	582.998343195266
1.368875	583.687573964497
1.373875	583.770887573965
1.378875	583.206627218935
1.383875	583.225562130178
1.388875	582.358343195266
1.393875	582.854437869823
1.398875	581.945562130178
1.403875	582.108402366864
1.408875	580.923076923077
1.413875	580.680710059172
1.418875	580.703431952663
1.424	580.025562130177
1.428875	579.972544378698
1.434	579.646863905325
1.438875	578.741775147929
1.444	578.075266272189
1.448875	578.257041420118
1.454	578.416094674556
1.458875	579.752899408284
1.464	578.43124260355
1.469	578.310059171598
1.474	578.154792899408
1.479	577.389822485207
1.484	575.602366863905
1.489	574.148165680473
1.494	574.223905325444
1.499	572.534911242604
1.504	572.213017751479
1.509	571.758579881657
1.514	570.527810650888
1.519	569.978698224852
1.524	569.868875739645
1.529	567.555029585799
1.534	567.043786982249
1.539	565.457041420118
1.544	564.195976331361
1.549	563.50674556213
1.554	564.142958579882
1.559	562.79100591716
1.564	562.071479289941
1.569	560.969467455621
1.574	559.708402366864
1.579	558.84875739645
1.584	558.606390532544
1.589	555.777514792899
1.594	555.387455621302
1.599	554.31573964497
1.604125	552.925917159763
1.609	551.558816568047
1.614125	550.191715976331
1.619	549.850887573965
1.624125	547.540828402367
1.629125	546.529704142012
1.634125	545.083076923077
1.639125	542.72
1.644125	541.019644970414
1.649125	540.46674556213
1.654125	537.959763313609
1.659	535.47550295858
1.664	536.020828402367
1.669	534.468165680473
1.674	533.154082840237
1.679	531.843786982249
1.684	530.147218934911
1.689	528.97325443787
1.694	526.920710059172
1.699	525.485443786982
1.704	522.474792899408
1.709	521.808284023669
1.714	519.70650887574
1.718875	517.813017751479
1.723875	516.063431952663
1.728875	513.40875739645
1.733875	510.996449704142
1.738875	509.273372781065
1.743875	508.637159763314
1.748875	505.565917159763
1.758875	502.097041420118
1.763875	499.752899408284
1.768875	498.802366863905
1.773875	496.352189349112
1.778875	495.318343195266
1.783875	493.655857988166
1.788875	493.557396449704
1.793875	491.349585798817
1.798875	490.720946745562
1.803875	489.444733727811
1.808875	487.820118343195
1.81375	485.578224852071
1.81875	484.35124260355
1.82375	483.480236686391
1.82875	482.96899408284
1.83375	480.424142011834
1.83875	480.507455621302
1.84375	477.246863905325
1.84875	475.565443786982
1.85375	473.429585798817
1.85875	471.172544378698
1.86375	469.491124260355
1.86875	469.392662721893
1.87375	467.514319526627
1.87875	464.287810650888
1.88375	463.496331360947
1.88875	461.697514792899
1.89375	460.152426035503
1.89875	458.205917159763
1.90375	456.213964497041
1.90875	451.900591715976
1.91375	451.495384615385
1.91875	448.401420118343
1.92375	447.712189349112
1.92875	446.167100591716
1.93375	443.716923076923
1.93875	443.141301775148
1.94375	440.554792899408
1.94875	438.456804733728
1.95375	437.741065088757
1.95875	434.639526627219
1.96375	433.446627218935
1.96875	431.496331360947
1.97375	430.223905325444
1.978625	429.000710059172
1.98375	426.175621301775
1.98875	425.084970414201
1.99375	424.62674556213
1.99875	423.759526627219
2.00375	422.142485207101
2.00875	420.385325443787
2.01375	419.699881656805
2.01875	418.238106508876
2.02375	415.79550295858
2.02875	414.05349112426
2.03375	412.591715976331
2.03875	410.531597633136
2.04375	409.350059171598
2.04875	407.017278106509
2.05375	405.52899408284
2.05875	403.415857988166
2.06375	402.571360946746
2.06875	401.393609467456
2.07375	398.958579881657
2.07875	398.636686390533
2.08375	396.576568047337
2.08875	393.546982248521
2.09375	391.342958579882
2.09875	386.832662721893
2.10375	386.116923076923
2.10875	384.162840236686
2.113875	380.739408284024
2.11875	377.156923076923
2.123875	375.27100591716
2.12875	373.600946745562
2.133875	371.037159763314
2.138875	368.836923076923
2.143875	367.920473372781
2.148875	367.174437869822
2.153875	364.167573964497
2.158875	361.986272189349
2.163875	360.732781065089
2.168875	359.998106508876
2.173875	358.381065088757
2.17875	355.298461538462
2.183875	354.495621301775
2.18875	352.189349112426
2.193875	349.610414201183
2.19875	347.64875739645
2.20375	345.713609467456
2.20875	344.793372781065
2.21375	344.414674556213
2.21875	339.699881656805
2.22375	338.143431952663
2.22875	336.583195266272
2.23375	334.000473372781
2.23875	333.674792899408
2.24375	331.591952662722
2.24875	329.149349112426
2.25375	326.687810650888
2.25875	324.256568047337
2.26375	321.798816568047
2.26875	320.200710059172
2.27375	317.928520710059
2.27875	316.322840236686
2.28375	316.095621301775
2.288625	314.641420118343
