#Deuxième tirage	
#Hauteur (mm)	Aire (mm²)
0.003875	559.401656804734
0.008875	558.689704142012
0.013875	559.087337278106
0.018875	558.860118343195
0.023875	558.969940828402
0.028875	558.636686390533
0.033875	558.765443786982
0.038875	558.163313609467
0.043875	558.038343195266
0.048875	558.443550295858
0.053875	558.121656804734
0.058875	558.485207100592
0.063875	558.401893491124
0.068875	558.538224852071
0.073875	558.193609467456
0.078875	557.886863905325
0.083875	557.352899408284
0.088875	557.508165680473
0.093875	558.227692307692
0.098875	557.981538461538
0.103875	558.428402366864
0.108875	559.102485207101
0.114	558.776804733728
0.118875	558.810887573964
0.124	558.163313609467
0.128875	558.470059171598
0.134	557.947455621302
0.139	558.220118343195
0.144	558.087573964497
0.149	558.329940828402
0.154	559.291834319527
0.159	559.46224852071
0.164	558.992662721893
0.169	558.663195266272
0.174	558.765443786982
0.178875	558.51550295858
0.184	559.144142011834
0.188875	558.481420118343
0.193875	558.417041420118
0.198875	558.189822485207
0.203875	559.011597633136
0.208875	559.015384615385
0.213875	559.329704142012
0.218875	558.735147928994
0.223875	559.484970414201
0.228875	559.572071005917
0.233875	559.954556213018
0.238875	560.530177514793
0.243875	559.33349112426
0.248875	560.23100591716
0.253875	560.170414201183
0.258875	559.655384615385
0.263875	560.708165680473
0.268875	560.51124260355
0.273875	560.147692307692
0.278875	560.200710059172
0.283875	560.969467455621
0.28875	559.613727810651
0.29375	559.409230769231
0.29875	560.605917159763
0.30375	560.602130177515
0.30875	561.07550295858
0.31375	560.708165680473
0.31875	561.450414201183
0.32375	559.863668639053
0.32875	559.803076923077
0.33375	559.674319526627
0.33875	559.905325443787
0.34375	559.575857988166
0.34875	559.216094674556
0.35375	559.348639053254
0.35875	559.431952662722
0.36375	559.613727810651
0.36875	559.833372781065
0.37375	559.628875739645
0.37875	560.068165680473
0.38375	559.431952662722
0.38875	559.140355029586
0.39375	559.920473372781
0.39875	560.151479289941
0.40375	559.719763313609
0.40875	560.431715976331
0.41375	560.253727810651
0.41875	560.20449704142
0.42375	560.170414201183
0.42875	560.772544378698
0.43375	561.223195266272
0.43875	561.041420118343
0.443875	561.71550295858
