Troisième  tirage	
Hauteur (mm)	Aire (mm²)
-0.426125	544.674082840237
-0.421125	545.064142011834
-0.416125	544.416568047337
-0.411125	544.689230769231
-0.406125	544.704378698225
-0.401125	544.893727810651
-0.396125	544.568047337278
-0.391125	544.424142011834
-0.386	544.602130177515
-0.381125	544.533964497041
-0.376	544.431715976331
-0.371	544.64
-0.366	545.014911242603
-0.361	544.624852071006
-0.356	544.628639053254
-0.351	544.924023668639
-0.346	544.905088757396
-0.341	544.738461538461
-0.336	544.802840236686
-0.331	544.833136094675
-0.326	544.007573964497
-0.321125	543.719763313609
-0.316	542.890414201183
-0.311125	543.007810650888
-0.306	543.178224852071
-0.301125	543.098698224852
-0.296125	543.004023668639
-0.291125	543.310769230769
-0.286125	543.200946745562
-0.281125	542.935857988166
-0.276125	542.833609467456
-0.271125	542.988875739645
-0.266125	542.977514792899
-0.261125	542.784378698225
-0.256125	542.913136094675
-0.251125	543.000236686391
-0.246125	543.12899408284
-0.241125	543.200946745562
-0.236125	543.113846153846
-0.231125	542.916923076923
-0.226125	542.754082840237
-0.221125	542.818461538462
-0.216125	542.716213017751
-0.21125	543.000236686391
-0.206125	542.61775147929
-0.20125	542.598816568047
-0.19625	542.640473372781
-0.19125	542.704852071006
-0.18625	543.140355029586
-0.18125	542.51550295858
-0.17625	542.689704142012
-0.17125	542.697278106509
-0.16625	542.757869822485
-0.16125	543.087337278106
-0.15625	543.05325443787
-0.15125	542.916923076923
-0.14625	542.928284023669
-0.14125	543.011597633136
-0.13625	543.318343195266
-0.13125	542.943431952663
-0.12625	542.920710059172
-0.12125	542.803313609467
-0.11625	543.072189349112
-0.11125	543.189585798817
-0.10625	543.272899408284
-0.10125	543.390295857988
-0.09625	543.185798816568
-0.09125	543.367573964497
-0.08625	543.420591715976
-0.08125	543.136568047337
-0.07625	542.962366863905
-0.07125	542.826035502959
-0.06625	542.769230769231
-0.06125	543.034319526627
-0.056125	542.89798816568
-0.05125	543.318343195266
-0.046125	543.288047337278
-0.04125	543.178224852071
-0.036125	543.458461538462
-0.03125	543.466035502959
-0.026125	543.197159763314
-0.02125	542.765443786982
-0.016125	542.943431952663
-0.011125	542.886627218935
-0.006125	543.306982248521
-0.001125	543.068402366864
0.003875	543.113846153846
0.008875	542.985088757396
0.013875	542.901775147929
0.018875	542.79573964497
0.023875	542.712426035503
0.028875	542.852544378698
0.033875	543.159289940828
0.038875	542.481420118343
0.043875	542.545798816568
0.048875	542.59124260355
0.053875	542.731360946746
0.058875	542.674556213018
0.063875	542.595029585799
0.068875	542.780591715976
0.073875	542.48899408284
0.078875	542.602603550296
0.083875	542.545798816568
0.088875	542.560946745562
0.093875	542.299644970414
0.098875	542.38674556213
0.103875	542.25798816568
0.108875	542.083786982249
0.114	542.121656804734
0.118875	542.15573964497
0.124	542.28449704142
0.128875	542.356449704142
0.134	542.500355029586
0.139	542.341301775148
0.144	542.534437869822
0.149	542.648047337278
0.154	542.526863905325
0.159	542.530650887574
0.164	542.958579881657
0.169	543.045680473373
0.174	543.242603550296
0.178875	542.879053254438
0.184	542.708639053254
0.188875	542.867692307692
0.193875	542.390532544379
0.198875	542.697278106509
0.203875	542.738934911243
0.208875	542.341301775148
0.213875	542.167100591716
0.218875	542.038343195266
0.223875	542.204970414201
0.228875	541.943668639053
0.233875	541.932307692308
0.238875	541.758106508876
0.243875	541.898224852071
0.248875	541.894437869822
0.253875	542.557159763314
0.258875	542.250414201183
0.263875	542.178461538462
0.268875	542.54201183432
0.273875	542.409467455621
0.27875	542.901775147929
0.283875	542.765443786982
0.28875	542.750295857988
0.29375	542.492781065089
0.29875	541.981538461538
0.30375	541.803550295858
0.30875	542.167100591716
0.31375	542.186035502959
0.31875	542.193609467456
0.32375	541.606627218935
0.32875	541.284733727811
0.33375	541.708875739645
0.33875	541.288520710059
0.34375	541.292307692308
0.34875	541.41349112426
0.35375	541.508165680473
0.35875	541.481656804734
0.36375	541.716449704142
0.36875	541.474082840237
0.37375	541.886863905325
0.37875	541.13325443787
0.38375	541.519526627219
0.38875	541.012071005917
0.39375	541.564970414201
0.39875	541.390769230769
0.40375	541.932307692308
0.40875	541.652071005917
0.41375	541.837633136095
0.41875	542.019408284024
0.42375	541.648284023669
0.42875	541.686153846154
0.43375	541.610414201183
0.43875	541.860355029586
0.44375	541.769467455621
0.44875	541.708875739645
0.453875	542.068639053254
0.45875	541.580118343195
0.463875	541.947455621302
0.46875	541.402130177515
0.473875	541.599053254438
0.47875	541.091597633136
0.483875	541.178698224852
0.488875	541.288520710059
0.493875	541.867928994083
0.498875	541.10674556213
0.503875	541.462721893491
0.508875	541.424852071006
0.513875	541.303668639053
0.518875	541.038579881657
0.523875	540.87573964497
0.528875	541.03100591716
0.533875	541.239289940828
0.538875	541.250650887574
0.543875	541.633136094675
0.548875	541.239289940828
0.553875	541.027218934911
0.558875	541.269585798817
0.563875	541.493017751479
0.568875	541.477869822485
0.573875	541.341538461538
0.578875	541.057514792899
0.583875	540.462958579882
0.588875	540.515976331361
0.593875	540.432662721894
0.598875	540.584142011834
0.603875	540.8
0.608875	540.550059171598
0.614	540.368284023669
0.618875	540.743195266272
0.624	540.508402366864
0.628875	541.091597633136
0.634	540.599289940828
0.639	540.462958579882
0.644	540.693964497041
0.649	541.057514792899
0.654	540.750769230769
0.659	540.993136094675
0.664	540.553846153846
0.669	540.421301775148
0.673875	540.069112426036
0.678875	539.879763313609
0.683875	540.383431952663
0.688875	539.989585798817
0.693875	539.82674556213
0.698875	540.284970414201
0.703875	540.004733727811
0.708875	540.519763313609
0.713875	539.425325443787
0.71875	540.091834319527
0.72375	540.243313609467
0.72875	540.152426035503
0.73375	540.322840236686
0.73875	540.523550295858
0.74375	540.504615384615
0.74875	540.239526627219
0.75375	539.864615384615
0.75875	540.26224852071
0.76375	539.944142011834
0.76875	540.254674556213
0.77375	539.947928994083
0.77875	540.016094674556
0.78375	540.027455621302
0.78875	540.110769230769
0.79375	539.902485207101
0.79875	540.099408284024
0.80375	539.800236686391
0.80875	539.254911242603
0.81375	539.357159763314
0.81875	538.948165680473
0.82375	539.133727810651
0.82875	539.164023668639
0.83375	538.989822485207
0.838625	539.569230769231
0.84375	539.133727810651
0.848625	539.62224852071
0.85375	539.270059171598
0.858625	539.023905325444
0.86375	539.270059171598
0.868625	539.383668639053
0.87375	539.425325443787
0.878625	539.425325443787
0.88375	539.614674556213
0.888625	539.201893491124
0.89375	539.190532544379
0.898625	539.849467455621
0.90375	539.610887573965
0.908625	539.516213017752
0.91375	539.402603550296
0.918625	538.910295857988
0.92375	539.076923076923
0.928625	539.501065088757
0.93375	539.080710059172
0.93875	538.944378698225
0.94375	538.868639053254
0.94875	538.463431952663
0.95375	538.717159763314
0.95875	538.90650887574
0.96375	538.720946745562
0.96875	538.861065088757
0.97375	538.986035502959
0.97875	538.508875739645
0.98375	538.849704142012
0.98875	538.542958579882
0.99375	538.221065088757
0.99875	539.270059171598
1.00375	538.951952662722
1.00875	539.357159763314
1.01375	539.296568047337
1.01875	538.474792899408
1.02375	538.31573964497
1.02875	538.588402366864
1.03375	538.039289940828
1.03875	538.766390532544
1.04375	539.141301775148
1.04875	538.940591715976
1.05375	539.372307692308
1.05875	539.819171597633
1.06375	539.679053254438
1.06875	539.921420118343
1.07375	538.467218934911
1.07875	539.436686390532
1.083875	538.012781065089
1.08875	536.816094674556
1.093875	537.819644970414
1.098875	536.812307692308
1.103875	536.85775147929
1.108875	538.372544378698
1.113875	536.486627218935
1.118875	537.244023668639
1.123875	536.024615384615
1.128875	537.372781065089
1.133875	536.872899408284
1.138875	535.854201183432
1.143875	535.342958579882
1.148875	535.975384615385
1.153875	537.550769230769
1.158875	536.032189349112
1.163875	535.547455621302
1.168875	537.028165680473
1.173875	536.316213017751
1.178875	535.967810650888
1.183875	536.691124260355
1.188875	536.020828402367
1.193875	535.846627218935
1.198875	534.752189349112
1.203875	535.214201183432
1.208875	536.21775147929
1.213875	535.365680473373
1.21875	534.941538461538
1.22375	535.638343195266
1.22875	534.176568047337
1.23375	534.32426035503
1.23875	534.93775147929
1.24375	535.505798816568
1.24875	534.596923076923
1.25375	535.369467455621
1.25875	534.574201183432
1.26375	534.918816568047
1.26875	534.979408284024
1.27375	534.695384615385
1.27875	533.794082840237
1.28375	534.506035502959
1.28875	534.517396449704
1.29375	535.134674556213
1.29875	533.790295857988
1.30375	532.612544378698
1.30875	533.494911242604
1.31375	533.441893491124
1.31875	533.010177514793
1.32375	533.623668639053
1.32875	534.142485207101
1.33375	532.76023668639
1.338625	532.972307692308
1.34375	532.779171597633
1.348625	534.358343195266
1.35375	532.514082840237
1.358625	532.676923076923
1.36375	533.547928994083
1.368625	533.078343195266
1.37375	532.230059171598
1.378625	532.779171597633
1.38375	535.096804733728
1.388625	531.018224852071
1.39375	532.722366863905
1.398625	533.036686390533
1.40375	532.646627218935
1.408625	532.612544378698
1.41375	533.547928994083
1.418625	531.487810650888
1.42375	532.139171597633
1.428625	528.897514792899
1.43375	529.598106508876
1.43875	529.973017751479
1.44375	529.412544378698
1.44875	529.533727810651
1.45375	530.257041420118
1.45875	530.135857988166
1.46375	529.980591715976
1.46875	527.678106508876
1.47375	528.162840236686
1.47875	525.148402366864
1.48375	526.48899408284
1.48875	526.307218934911
1.49375	526.41325443787
1.49875	524.853017751479
1.50375	524.849230769231
1.50875	522.410414201183
1.51375	525.371834319527
1.51875	524.277396449704
1.52375	522.531597633136
1.52875	521.615147928994
1.53375	518.044023668639
1.53875	520.270769230769
1.54375	519.80875739645
1.54875	518.771124260355
1.55375	518.153846153846
1.55875	518.047810650888
1.56375	517.157869822485
1.56875	519.312662721894
1.57375	516.828402366864
1.57875	518.93775147929
1.583875	513.264852071006
1.58875	514.976568047337
1.593875	512.325680473373
1.598875	513.185325443787
1.603875	510.810887573964
1.608875	507.224615384615
1.613875	512.840710059172
1.618875	506.050650887574
1.623875	505.528047337278
1.628875	503.14224852071
1.633875	504.660828402367
1.638875	504.486627218935
1.643875	499.983905325444
1.648875	506.160473372781
1.653875	501.438106508876
1.658875	495.378934911243
1.663875	500.283076923077
1.668875	499.673372781065
1.673875	492.512189349112
1.678875	495.413017751479
1.683875	493.799763313609
1.688875	494.723786982248
1.693875	492.016094674556
1.698875	485.309349112426
1.703875	485.101065088757
1.708875	483.620355029586
1.713875	481.670059171598
1.71875	481.859408284024
1.72375	481.469349112426
1.72875	480.412781065089
1.73375	473.887810650888
1.73875	471.899644970414
1.74375	474.11124260355
1.74875	467.911952662722
1.75375	472.785798816568
1.75875	469.475976331361
1.76375	470.850650887574
1.76875	464.628639053254
1.77375	462.352662721893
1.77875	461.693727810651
1.78375	459.323076923077
1.78875	461.780828402367
1.79375	457.90674556213
1.79875	458.910295857988
1.80375	458.202130177515
1.80875	455.024852071006
1.81375	455.982958579882
1.81875	454.737041420118
1.82375	448.958106508876
1.828625	446.435976331361
1.83375	447.011597633136
1.838625	443.304142011834
1.84375	438.521183431953
1.848625	440.660828402367
1.85375	440.903195266272
1.858625	437.570650887574
1.86375	436.892781065089
1.868625	435.351479289941
1.87375	433.215621301775
1.878625	434.590295857988
1.88375	429.629349112426
1.888625	426.891360946746
1.89375	424.990295857988
1.898625	424.888047337278
1.90375	422.479526627219
1.908625	419.02201183432
1.91375	419.514319526627
1.918625	416.802840236686
1.92375	416.140118343195
1.928625	415.87124260355
1.93375	412.497041420118
1.938625	411.334437869822
1.943625	411.599526627219
1.948625	409.134201183432
1.953625	408.350295857988
1.958625	406.108402366864
1.963625	405.392662721893
1.968625	402.613017751479
1.973625	400.681656804734
1.978625	400.855857988166
1.983625	397.254437869822
1.988625	396.538698224852
1.993625	392.55100591716
1.998625	396.231952662722
2.00375	388.680710059172
2.008625	389.256331360947
2.01375	388.381538461538
2.018625	384.272662721893
2.02375	384.022721893491
2.028625	379.440473372781
2.03375	379.788875739645
2.03875	380.667455621302
2.04375	378.724733727811
2.04875	379.224615384615
2.05375	376.634319526627
2.05875	375.093017751479
2.06375	372.945798816568
2.06875	370.446390532544
2.07375	369.605680473373
2.07875	364.069112426035
2.08375	364.425088757396
2.08875	363.190532544379
2.09375	360.14201183432
2.09875	357.718343195266
2.10375	355.381775147929
2.10875	354.366863905325
2.11375	349.989112426035
2.11875	350.996449704142
2.12375	348.542485207101
2.12875	347.406390532544
2.133875	342.19550295858
2.13875	342.127337278106
2.143875	342.471952662722
2.14875	337.927573964497
2.153875	337.829112426036
2.15875	334.530650887574
2.163875	333.44
2.16875	330.698224852071
2.17375	329.562130177515
2.17875	326.471952662722
2.18375	321.654911242604
2.18875	322.658461538462
2.19375	321.336804733728
2.19875	321.272426035503
2.20375	319.708402366864
2.20875	316.890887573965
2.21375	316.243313609467
2.21875	314.459644970414
2.22375	312.187455621302
2.22875	310.468165680473
2.23375	308.336094674556
2.23875	308.881420118343
2.24375	305.162603550296
2.24875	303.89775147929
2.25375	302.428402366864
2.258625	298.679289940828
2.26375	298.194556213018
2.268625	294.581775147929
2.273625	293.013964497041
2.278625	292.498934911243
2.283625	288.874792899408
2.288625	287.140355029586
2.293625	285.625562130178
2.298625	288.022721893491
2.303625	284.667455621302
2.308625	280.463905325444
2.313625	278.09325443787
2.318625	274.89325443787
2.323625	272.783905325444
2.328625	267.868402366864
2.333625	267.576804733728
2.338625	266.739881656805
2.343625	263.710295857988
2.348625	261.824378698225
2.353625	260.843550295858
2.358625	257.473136094675
2.363625	257.155029585799
2.368625	249.084970414201
2.373625	252.03124260355
2.378625	249.111479289941
2.383625	247.44899408284
2.388625	245.578224852071
2.393625	244.764023668639
2.398625	240.852071005917
2.403625	240.253727810651
2.408625	239.276686390533
2.413625	237.110532544379
2.418625	237.205207100592
2.423625	235.841893491124
2.428625	234.338461538462
2.433625	232.092781065089
2.438625	230.903668639053
2.443625	232.096568047337
2.448625	228.131597633136
2.453625	229.457041420118
2.458625	227.086390532544
2.463625	224.905088757396
2.468625	220.709112426035
2.473625	219.504852071006
2.478625	217.357633136095
2.483625	215.717869822485
2.488625	214.570414201183
2.493625	214.172781065089
2.498625	213.362366863905
2.50375	214.468165680473
2.508625	212.574674556213
2.51375	211.946035502959
2.518625	212.517869822485
2.52375	212.983668639053
2.52875	213.820591715976
2.53375	211.896804733728
2.53875	208.246153846154
2.54375	209.488284023669
2.54875	208.719526627219
2.55375	206.814674556213
2.55875	205.678579881657
2.56375	204.296331360947
2.56875	203.330650887574
2.57375	203.258698224852
2.57875	202.758816568047
2.58375	201.066035502959
2.58875	198.52875739645
2.59375	200.39573964497
2.59875	199.918579881657
2.60375	197.665325443787
2.60875	197.801656804734
2.61375	194.567573964497
2.61875	194.719053254438
2.62375	192.738461538462
2.62875	190.019408284024
2.633875	187.557869822485
2.63875	187.379881656805
2.643875	191.753846153846
2.64875	191.28426035503
2.653875	182.771124260355
2.65875	180.953372781065
2.663875	175.371360946746
2.66875	168.615384615385
2.67375	166.339408284024
2.67875	210.014674556213
2.68375	161.283786982249
2.68875	148.483786982249
2.69375	147.40449704142
2.69875	144.636213017751
2.70375	140.864378698225
2.70875	139.891124260355
2.71375	136.039763313609
2.71875	132.24899408284
2.72375	129.957869822485
2.72875	128.685443786982
2.73375	125.061301775148
2.73875	122.645207100592
2.74375	120.126863905325
2.74875	117.824378698225
2.75375	115.669585798817
2.758625	112.746035502959
2.763625	110.712426035503
2.768625	107.413964497041
2.773625	103.585325443787
2.778625	102.388639053254
2.783625	95.8220118343195
2.788625	92.167573964497
2.793625	86.5552662721893
2.798625	82.2532544378698
2.803625	81.7571597633136
2.808625	76.5008284023669
2.813625	43.7737278106509
2.813625	73.9673372781065
2.818625	69.3244970414201
2.823625	67.6355029585799
2.828625	55.8428402366864
2.833625	45.1332544378698
