#Troisième enfoncement	
#Hauteur (mm)	Aire (mm²)
1.92875	207.197159763314
1.92375	205.296094674556
1.91875	205.44
1.91375	207.02674556213
1.90875	206.560946745562
1.90375	205.693727810651
1.89875	205.322603550296
1.89375	206.038343195266
1.88875	205.345325443787
1.88375	205.621775147929
1.87875	205.508165680473
1.87375	205.447573964497
1.86875	205.572544378698
1.86375	205.599053254438
1.85875	205.674792899408
1.85375	205.655857988166
1.84875	205.659644970414
1.843875	205.905798816568
1.83875	206.348875739645
1.833875	205.90201183432
1.82875	206.098934911243
1.823875	206.837396449704
1.81875	205.833846153846
1.813875	206.011834319527
1.808875	206.000473372781
1.803875	205.739171597633
1.798875	205.837633136095
1.793875	205.784615384615
1.788875	206.587455621302
1.783875	206.507928994083
1.778875	205.905798816568
1.773875	206.144378698225
1.768875	206.810887573964
1.763875	206.011834319527
1.758875	206.273136094675
1.753875	207.004023668639
1.748875	206.95100591716
1.743875	206.602603550296
1.738875	206.125443786982
1.733875	206.549585798817
1.728875	206.814674556213
1.723875	207.068402366864
1.718875	206.916923076923
1.713875	206.962366863905
1.708875	207.204733727811
1.704	207.295621301775
1.698875	206.932071005917
1.694	206.220118343195
1.689	206.10650887574
1.684	206.871479289941
1.679	206.356449704142
1.674	205.852781065089
1.669	205.777041420118
1.664	205.947455621302
1.659	205.989112426035
1.654	205.864142011834
1.649	206.72
1.644	206.072426035503
1.639	205.985325443787
1.634	206.045917159763
1.629	205.792189349112
1.624	205.500591715976
1.618875	205.587692307692
1.614	205.315029585799
1.608875	205.807337278107
1.604	205.258224852071
1.598875	205.318816568047
1.593875	205.148402366864
1.588875	205.171124260355
1.583875	205.390769230769
1.578875	205.462721893491
1.573875	205.447573964497
1.568875	205.436213017751
1.563875	205.833846153846
1.558875	205.788402366864
1.553875	205.803550295858
1.548875	205.769467455621
1.543875	205.708875739645
1.538875	205.84899408284
1.533875	205.595266272189
1.528875	205.67100591716
1.523875	205.546035502959
1.518875	205.614201183432
1.513875	205.898224852071
1.508875	205.496804733728
1.503875	205.428639053254
1.49875	205.599053254438
1.493875	205.860355029586
1.48875	205.561183431953
1.48375	205.553609467456
1.47875	205.727810650888
1.47375	205.296094674556
1.46875	205.330177514793
1.46375	205.284733727811
1.45875	205.212781065089
1.45375	205.368047337278
1.44875	205.489230769231
1.44375	205.962603550296
1.43875	206.102721893491
1.43375	205.962603550296
1.42875	205.996686390533
1.42375	205.716449704142
1.41875	205.97775147929
1.41375	206.511715976331
1.40875	206.095147928994
1.40375	206.432189349112
1.39875	206.367810650888
1.39375	206.167100591716
1.38875	206.20875739645
1.38375	206.352662721893
1.37875	206.375384615385
1.37375	206.223905325444
1.36875	205.811124260355
1.36375	205.807337278107
1.35875	206.292071005917
1.35375	206.098934911243
1.34875	206.579881656805
1.343875	206.314792899408
1.33875	206.352662721893
1.333875	206.329940828402
