#area theta h
137.428 175.22573624242 -0.272625
139.395 175.222341317983 -0.27775
141.976 175.170568720328 -0.282625
144.115 175.154111406859 -0.287625
145.353 175.196448789334 -0.292625
147.216 175.197120811278 -0.297625
150.275 175.118494243825 -0.302625
150.743 175.212577315991 -0.307625
152.768 175.203169008774 -0.312625
154.757 175.19913687711 -0.31775
157.313 175.151423319083 -0.322625
158.287 175.215265403767 -0.32775
159.533 175.257602786241 -0.33275
161.233 175.270371203178 -0.33775
163.872 175.220641579319 -0.34275
165.771 175.220641579319 -0.34775
170.227 175.053308115253 -0.35275
174.204 174.918231704501 -0.35775
174.71 175.008954666946 -0.36275
177.226 174.969977394192 -0.36775
178.56 175.006938601114 -0.37275
180.487 175.005594557226 -0.37775
183.635 174.92629596783 -0.38275
185.176 174.950488757815 -0.38775
186.42 174.993498162234 -0.39275
187.881 175.026427237492 -0.397875
190.263 174.993498162234 -0.40275
191.951 175.010970732779 -0.407875
195.351 174.913527550893 -0.41275
196.244 174.982745811129 -0.417875
197.48 175.023739149715 -0.42275
199.454 175.023739149715 -0.427875
203.011 174.920247770333 -0.432875
203.257 175.027099259436 -0.437875
207.207 174.899415090068 -0.442875
209.605 174.86984612453 -0.447875
211.27 174.887318695075 -0.452875
212.191 174.951160779759 -0.457875
213.882 174.967289306416 -0.462875
215.536 174.985433898905 -0.467875
216.799 175.02777128138 -0.472875
218.399 175.049275983589 -0.477875
219.234 175.119166265769 -0.482875
222.264 175.050620027477 -0.487875
224.805 175.013658820555 -0.492875
226.419 175.03449150082 -0.497875
228.129 175.049275983589 -0.502875
230.262 175.03785161054 -0.507875
232.048 175.047931939701 -0.512875
232.842 175.120510309657 -0.517875
234.411 175.144031077699 -0.522875
234.498 175.260290874017 -0.527875
236.144 175.279107488451 -0.532875
238.751 175.238786171808 -0.537875
241.634 175.180992284621 -0.542875
243.192 175.20585709655 -0.547875
245.715 175.17091195546 -0.552875
246.645 175.234754040144 -0.557875
249.194 175.198464855166 -0.562875
250.619 175.231393930424 -0.567875
252.033 175.26566704957 -0.572875
253.037 175.324804980645 -0.577875
254.911 175.330181156198 -0.582875
257.122 175.314724651485 -0.587875
258.708 175.338245419526 -0.592875
259.388 175.417544008923 -0.597875
