#Hauteur (mm)	aire (mm²)
-0.335	930.058252427184
-0.34	930.058252427184
-0.344875	930.058252427184
-0.349875	930.058252427184
-0.354875	930.058252427184
-0.359875	930.058252427184
-0.364875	930.058252427184
-0.369875	930.058252427184
-0.374875	930.058252427184
-0.379875	930.058252427184
-0.384875	930.058252427184
-0.389875	930.058252427184
-0.394875	930.058252427184
-0.399875	930.058252427184
-0.404875	930.058252427184
-0.409875	930.058252427184
-0.414875	930.058252427184
-0.419875	930.058252427184
-0.424875	930.058252427184
-0.429875	930.058252427184
-0.434875	930.058252427184
-0.439875	930.058252427184
-0.444875	930.058252427184
-0.449875	930.058252427184
-0.454875	930.058252427184
-0.459875	930.058252427184
-0.464875	930.058252427184
-0.469875	930.058252427184
-0.474875	930.058252427184
-0.47975	930.058252427184
-0.484875	930.058252427184
-0.48975	930.058252427184
-0.49475	930.058252427184
-0.49975	930.058252427184
-0.50475	930.058252427184
-0.50975	930.058252427184
-0.51475	930.058252427184
-0.51975	930.058252427184
-0.52475	930.058252427184
-0.52975	930.058252427184
-0.53475	930.058252427184
-0.53975	930.058252427184
-0.54475	930.058252427184
-0.54975	930.058252427184
-0.55475	930.058252427184
-0.55975	930.058252427184
-0.56475	930.058252427184
-0.56975	930.058252427184
-0.57475	930.058252427184
-0.57975	930.058252427184
-0.58475	930.058252427184
-0.58975	930.058252427184
-0.59475	930.058252427184
-0.59975	930.058252427184
-0.60475	930.058252427184
-0.60975	930.058252427184
-0.61475	930.058252427184
-0.619875	930.058252427184
-0.624875	930.058252427184
-0.629875	930.058252427184
-0.634875	930.058252427184
-0.639875	930.058252427184
-0.644875	930.058252427184
-0.649875	930.058252427184
-0.654875	930.058252427184
-0.659875	930.058252427184
-0.664875	930.058252427184
-0.669875	930.058252427184
-0.674875	930.058252427184
-0.679875	930.058252427184
-0.684875	930.058252427184
-0.689875	930.058252427184
-0.694875	930.058252427184
-0.699875	930.058252427184
-0.704875	930.058252427184
-0.709875	930.058252427184
-0.714875	930.058252427184
-0.719875	930.058252427184
-0.724875	930.058252427184
