#A h theta
363.628 0.866875 134.054
362.596 0.871875 133.987
361.31 0.876875 133.934
361.278 0.881875 133.811
358.822 0.886875 133.822
355.167 0.891875 133.899
355.07 0.896875 133.78
352.505 0.901875 133.797
349.717 0.906875 133.826
348.196 0.911875 133.785
346.637 0.916875 133.746
344.793 0.921875 133.723
342.778 0.926875 133.709
341.574 0.931875 133.65
339.923 0.936875 133.617
338.234 0.941875 133.585
337.26 0.946875 133.513
336.145 0.951875 133.45
334.607 0.956875 133.409
332.831 0.961875 133.382
332.561 0.966875 133.272
330.393 0.971875 133.266
328.85 0.976875 133.225
327.587 0.981875 133.17
323.329 0.986875 133.278
319.673 0.991875 133.353
315.809 0.996875 133.44
313.328 1.00188 133.45
312.377 1.00687 133.377
310.069 1.01188 133.378
309.986 1.01687 133.257
310.151 1.02188 133.123
307.817 1.02687 133.125
307.414 1.03187 133.021
306.252 1.03687 132.959
305.753 1.04187 132.861
303.114 1.047 132.876
302.249 1.05187 132.801
302.349 1.057 132.666
300.465 1.06188 132.646
296.977 1.067 132.708
294.862 1.072 132.697
293.805 1.077 132.629
292.648 1.082 132.566
291.448 1.087 132.505
290.305 1.092 132.441
288.83 1.097 132.395
287.513 1.102 132.34
286.898 1.107 132.247
285.657 1.112 132.188
283.983 1.117 132.153
282.076 1.122 132.13
280.764 1.127 132.075
280.23 1.132 131.977
278.338 1.137 131.953
276.369 1.142 131.933
275.722 1.147 131.841
273.363 1.152 131.842
272.322 1.157 131.772
270.053 1.162 131.768
269.277 1.167 131.682
265.353 1.172 131.768
264.239 1.17712 131.697
262.813 1.182 131.65
260.538 1.18712 131.642
259.049 1.19213 131.595
257.536 1.19712 131.549
256.249 1.20213 131.491
254.593 1.20713 131.452
252.94 1.21213 131.414
251.328 1.21713 131.372
249.646 1.22213 131.335
246.996 1.22713 131.349
245.309 1.232 131.315
243.294 1.23713 131.291
241.71 1.242 131.251
239.222 1.247 131.256
237.549 1.252 131.217
236.17 1.257 131.162
233.839 1.262 131.158
231.656 1.267 131.145
229.687 1.272 131.121
228.293 1.277 131.067
227.684 1.282 130.97
226.408 1.287 130.909
223.852 1.292 130.915
221.243 1.297 130.924
220.155 1.302 130.852
217.36 1.307 130.87
215.276 1.312 130.85
214.714 1.317 130.75
212.274 1.322 130.749
