#A h theta
455.348 0.513632 138.43
455.409 0.518712 138.303
455.594 0.523787 138.17
455.272 0.528857 138.065
454.783 0.533922 137.968
454.356 0.538982 137.868
454.94 0.544037 137.714
454.402 0.549087 137.62
454.813 0.554133 137.476
454.383 0.559173 137.376
454.217 0.564209 137.263
453.878 0.56924 137.159
453.254 0.574266 137.07
453.474 0.579287 136.936
452.278 0.584304 136.878
452.419 0.589315 136.748
451.542 0.594322 136.673
449.949 0.599325 136.637
449.525 0.604323 136.538
448.293 0.609316 136.482
447.76 0.614304 136.389
447.157 0.619288 136.3
446.586 0.624267 136.209
445.352 0.629242 136.153
444.729 0.634212 136.066
444.596 0.639178 135.951
446.231 0.644139 135.743
444.937 0.649095 135.691
444.719 0.654048 135.582
444.555 0.658995 135.47
443.912 0.663939 135.383
443.794 0.668878 135.269
441.544 0.673813 135.268
441.352 0.678743 135.158
439.867 0.683792 135.114
439.206 0.688591 135.032
439.03 0.693632 134.918
437.451 0.698422 134.885
438.195 0.703454 134.722
435.811 0.708236 134.732
435.624 0.71326 134.619
433.503 0.718156 134.612
433.054 0.723049 134.516
433.678 0.727937 134.363
432.191 0.732822 134.323
431.467 0.737702 134.242
429.062 0.742579 134.251
428.524 0.747451 134.16
426.655 0.75232 134.14
424.978 0.757184 134.11
425.646 0.762045 133.955
426.423 0.766902 133.794
424.12 0.771755 133.798
424.415 0.776604 133.663
424.022 0.781449 133.564
420.785 0.786291 133.618
419.669 0.791129 133.559
420.279 0.795963 133.407
420.885 0.800794 133.256
420.609 0.805621 133.151
419.031 0.810565 133.114
416.165 0.815264 133.151
415.033 0.8202 133.09
413.092 0.825013 133.075
413.498 0.829822 132.935
412.842 0.834627 132.851
410.367 0.839429 132.865
408.753 0.844228 132.833
408.623 0.849023 132.721
405.401 0.853695 132.778
405.434 0.858603 132.655
401.835 0.863269 132.732
403.488 0.86817 132.522
401.371 0.87283 132.52
397.665 0.877605 132.6
398.824 0.882377 132.42
394.9 0.887146 132.511
394.787 0.891912 132.399
392.017 0.896675 132.429
390.825 0.901434 132.375
389.832 0.906191 132.31
388.068 0.910944 132.286
388.397 0.915695 132.151
385.648 0.920442 132.18
386.349 0.925186 132.024
381.947 0.929928 132.142
381.43 0.934666 132.052
379.291 0.939402 132.048
377.793 0.944135 132.011
376.437 0.948865 131.965
374.924 0.953592 131.929
374.897 0.958198 131.815
371.81 0.96292 131.863
369.834 0.967639 131.851
369.057 0.972355 131.774
366.737 0.977069 131.781
366.255 0.98178 131.689
366.629 0.986488 131.551
363.628 0.991193 131.594
362.596 0.995896 131.532
361.31 1.0006 131.483
361.278 1.0053 131.367
358.822 1.00999 131.381
355.167 1.01468 131.459
355.07 1.01937 131.347
352.505 1.02406 131.366
349.717 1.02875 131.398
348.196 1.03343 131.362
346.637 1.03811 131.328
344.793 1.04279 131.309
